45252	1	0	0
169	76	632	14
33349	1	0	0
155	76	244	8
45253	1	0	0
150	76	155	6
199	76	108	6
45254	1	0	0
58	75	190	7
25231	1	8	1
97	75	298	9
160	75	469	12
66904	1	0	0
43	75	988	18
45255	1	0	0
118	74	125	7
161	74	77	5
45256	1	0	0
89	74	106	6
58031	1	1	1
207	74	100	5
189	72	287	10
45257	1	0	0
141	72	1035	16
32	72	791	13
16044	1	0	0
34	72	208	8
16045	1	0	0
31	72	521	11
33350	1	0	0
200	72	298	10
16046	1	0	0
107	71	306	9
50	71	488	11
58032	1	0	0
111	70	94	5
16047	1	0	0
201	70	267	8
16048	1	0	0
33	70	869	17
45258	1	0	0
290	70	108	5
45259	1	0	0
238	70	264	9
58033	1	0	0
156	69	245	8
98	68	172	4
66905	1	0	0
269	68	388	11
33351	1	0	0
221	67	40	4
45260	1	0	0
61	67	151	6
137	67	262	9
291	67	103	5
394	67	64	3
33352	1	0	0
138	66	209	9
33353	1	0	0
328	66	296	9
67	65	263	6
66906	1	0	0
119	65	352	9
85	65	259	10
58034	1	0	0
48	65	261	9
45261	1	0	0
145	65	42	3
11223	1	1	1
180	64	470	14
45262	1	0	0
92	64	267	10
45263	1	0	0
228	64	302	9
58035	1	0	0
208	64	322	10
45264	1	0	0
146	64	191	8
45265	1	0	0
304	63	300	10
58036	1	0	0
682	63	71	4
25232	1	1	1
2019	63	598	11
58037	1	0	0
60	63	403	12
58038	1	0	0
108	63	451	12
25233	1	1	1
185	62	150	7
19724	1	0	0
114	62	196	7
19725	1	0	0
194	62	189	9
58039	1	0	0
151	62	165	7
19726	1	2	1
277	62	245	8
56	62	340	12
66907	1	1	1
316	61	178	8
258	61	51	3
33354	1	0	0
395	61	146	7
58040	1	0	0
190	61	299	10
45266	1	6	1
120	61	6	1
723	61	474	12
58041	1	0	0
396	61	34	4
58042	1	0	0
305	60	227	9
19727	1	2	1
2366	60	47	4
33355	1	0	0
17	60	218	8
33356	1	0	0
465	60	392	9
99	60	268	9
45267	1	0	0
209	60	235	8
19728	1	2	1
554	60	162	8
58043	1	0	0
202	60	104	5
58044	1	0	0
162	59	868	16
69	59	165	7
45268	1	0	0
170	59	241	8
139	59	83	5
33357	1	0	0
181	59	44	4
33358	1	0	0
203	59	126	7
45269	1	0	0
78	59	186	7
33359	1	0	0
121	59	266	9
33360	1	0	0
769	59	66	4
33361	1	0	0
171	59	389	12
33362	1	0	0
317	59	875	15
58045	1	0	0
76	58	106	5
147	58	191	6
58046	1	0	0
213	58	43	4
204	58	86	6
58047	1	0	0
59	58	94	5
33363	1	0	0
70	58	126	6
45270	1	0	0
135	58	208	9
58048	1	1	1
381	58	278	10
127	57	324	8
33364	1	2	1
100	57	242	7
94	57	280	7
45271	1	0	0
1747	57	27	3
33365	1	0	0
495	57	298	11
58049	1	0	0
365	56	417	12
58050	1	0	0
157	56	102	6
66908	1	0	0
437	56	173	7
58051	1	0	0
44	56	325	9
16049	1	10	1
158	56	245	6
16050	1	10	1
229	56	290	10
382	56	261	9
58052	1	0	0
278	56	41	3
19729	1	0	0
210	56	286	9
